"Name","X-Coordiante","Y-Coordinate","Rotation","Value","Package"
"LED205","92.150","62.000","90","green_150060VS75000","0603"
"IC206","70.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R206","69.625","63.170","0","1.5kR","0603"
"C206","71.650","64.250","0","1nF","0603"
"LED206","72.150","62.000","90","green_150060VS75000","0603"
"IC207","50.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R207","49.625","63.170","0","1.5kR","0603"
"C207","51.650","64.250","0","1nF","0603"
"LED207","52.150","62.000","90","green_150060VS75000","0603"
"IC208","30.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R208","29.625","63.170","0","1.5kR","0603"
"C208","31.650","64.250","0","1nF","0603"
"LED208","32.150","62.000","90","green_150060VS75000","0603"
"IC209","330.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R209","329.625","50.170","0","1.5kR","0603"
"C209","331.650","51.250","0","1nF","0603"
"LED209","332.150","49.000","90","green_150060VS75000","0603"
"IC210","310.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R210","309.625","50.170","0","1.5kR","0603"
"C210","311.650","51.250","0","1nF","0603"
"LED210","312.150","49.000","90","green_150060VS75000","0603"
"IC211","290.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R211","289.625","50.170","0","1.5kR","0603"
"C211","291.650","51.250","0","1nF","0603"
"LED211","292.150","49.000","90","green_150060VS75000","0603"
"IC212","270.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R212","269.625","50.170","0","1.5kR","0603"
"C212","271.650","51.250","0","1nF","0603"
"LED212","272.150","49.000","90","green_150060VS75000","0603"
"IC213","250.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R213","249.625","50.170","0","1.5kR","0603"
"C213","251.650","51.250","0","1nF","0603"
"LED213","252.150","49.000","90","green_150060VS75000","0603"
"IC214","230.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R214","229.625","50.170","0","1.5kR","0603"
"C214","231.650","51.250","0","1nF","0603"
"LED214","232.150","49.000","90","green_150060VS75000","0603"
"IC215","210.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R215","209.625","50.170","0","1.5kR","0603"
"C215","211.650","51.250","0","1nF","0603"
"LED215","212.150","49.000","90","green_150060VS75000","0603"
"IC216","190.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R216","189.625","50.170","0","1.5kR","0603"
"C216","191.650","51.250","0","1nF","0603"
"LED216","192.150","49.000","90","green_150060VS75000","0603"
"IC217","170.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R217","169.625","50.170","0","1.5kR","0603"
"C217","171.650","51.250","0","1nF","0603"
"LED217","172.150","49.000","90","green_150060VS75000","0603"
"IC218","150.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R218","149.625","50.170","0","1.5kR","0603"
"C218","151.650","51.250","0","1nF","0603"
"LED218","152.150","49.000","90","green_150060VS75000","0603"
"IC219","130.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R219","129.625","50.170","0","1.5kR","0603"
"C219","131.650","51.250","0","1nF","0603"
"LED219","132.150","49.000","90","green_150060VS75000","0603"
"IC220","110.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R220","109.625","50.170","0","1.5kR","0603"
"C220","111.650","51.250","0","1nF","0603"
"LED220","112.150","49.000","90","green_150060VS75000","0603"
"IC221","90.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R221","89.625","50.170","0","1.5kR","0603"
"C221","91.650","51.250","0","1nF","0603"
"LED221","92.150","49.000","90","green_150060VS75000","0603"
"IC222","70.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R222","69.625","50.170","0","1.5kR","0603"
"C222","71.650","51.250","0","1nF","0603"
"LED222","72.150","49.000","90","green_150060VS75000","0603"
"IC223","50.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R223","49.625","50.170","0","1.5kR","0603"
"C223","51.650","51.250","0","1nF","0603"
"LED223","52.150","49.000","90","green_150060VS75000","0603"
"IC224","30.000","52.345","90","BGS12P2L6","TSLP-6-4"
"R224","29.625","50.170","0","1.5kR","0603"
"C224","31.650","51.250","0","1nF","0603"
"LED224","32.150","49.000","90","green_150060VS75000","0603"
"IC225","330.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R225","329.625","37.170","0","1.5kR","0603"
"C225","331.650","38.250","0","1nF","0603"
"LED225","332.150","36.000","90","green_150060VS75000","0603"
"IC226","310.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R226","309.625","37.170","0","1.5kR","0603"
"C226","311.650","38.250","0","1nF","0603"
"LED226","312.150","36.000","90","green_150060VS75000","0603"
"IC227","290.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R227","289.625","37.170","0","1.5kR","0603"
"C227","291.650","38.250","0","1nF","0603"
"LED227","292.150","36.000","90","green_150060VS75000","0603"
"IC228","270.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R228","269.625","37.170","0","1.5kR","0603"
"C228","271.650","38.250","0","1nF","0603"
"LED228","272.150","36.000","90","green_150060VS75000","0603"
"IC229","250.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R229","249.625","37.170","0","1.5kR","0603"
"C229","251.650","38.250","0","1nF","0603"
"LED229","252.150","36.000","90","green_150060VS75000","0603"
"IC230","230.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R230","229.625","37.170","0","1.5kR","0603"
"C230","231.650","38.250","0","1nF","0603"
"LED230","232.150","36.000","90","green_150060VS75000","0603"
"IC231","210.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R231","209.625","37.170","0","1.5kR","0603"
"C231","211.650","38.250","0","1nF","0603"
"LED231","212.150","36.000","90","green_150060VS75000","0603"
"IC232","190.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R232","189.625","37.170","0","1.5kR","0603"
"C232","191.650","38.250","0","1nF","0603"
"LED232","192.150","36.000","90","green_150060VS75000","0603"
"IC233","170.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R233","169.625","37.170","0","1.5kR","0603"
"C233","171.650","38.250","0","1nF","0603"
"LED233","172.150","36.000","90","green_150060VS75000","0603"
"IC234","150.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R234","149.625","37.170","0","1.5kR","0603"
"C234","151.650","38.250","0","1nF","0603"
"LED234","152.150","36.000","90","green_150060VS75000","0603"
"IC235","130.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R235","129.625","37.170","0","1.5kR","0603"
"C235","131.650","38.250","0","1nF","0603"
"LED235","132.150","36.000","90","green_150060VS75000","0603"
"IC236","110.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R236","109.625","37.170","0","1.5kR","0603"
"C236","111.650","38.250","0","1nF","0603"
"LED236","112.150","36.000","90","green_150060VS75000","0603"
"IC237","90.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R237","89.625","37.170","0","1.5kR","0603"
"C237","91.650","38.250","0","1nF","0603"
"LED237","92.150","36.000","90","green_150060VS75000","0603"
"IC238","70.000","39.345","90","BGS12P2L6","TSLP-6-4"
"R238","69.625","37.170","0","1.5kR","0603"
"C238","71.650","38.250","0","1nF","0603"
"LED238","72.150","36.000","90","green_150060VS75000","0603"
"IC239","50.000","39.345","90","BGS12P2L6","TSLP-6-4"
